sno,ip,port,code,country,type,unknown,https,create_date,current
2,93.117.226.42,8080,NL,Netherlands,elite proxy,no,no,5 seconds ago,no
3,93.91.112.247,41258,RU,Russian Federation,elite proxy,no,no,5 seconds ago,no
4,118.172.51.84,49799,TH,Thailand,elite proxy,no,no,5 seconds ago,no
6,1.20.99.178,34781,TH,Thailand,elite proxy,no,no,5 seconds ago,yes
8,117.103.5.186,44825,ID,Indonesia,elite proxy,no,no,5 seconds ago,no
9,213.230.91.160,3128,UZ,Uzbekistan,elite proxy,no,yes,5 seconds ago,no
10,24.172.34.114,49116,US,United States,elite proxy,no,no,5 seconds ago,no
13,202.138.236.35,53298,ID,Indonesia,elite proxy,no,no,5 seconds ago,no
15,103.126.218.68,8080,BD,Bangladesh,elite proxy,no,no,5 seconds ago,no
16,41.180.65.27,53116,ZA,South Africa,elite proxy,no,no,5 seconds ago,no
18,140.227.238.18,1000,JP,Japan,elite proxy,no,no,5 seconds ago,no
20,46.28.229.78,3128,RU,Russian Federation,elite proxy,no,no,1 minute ago,no
21,177.103.179.122,34995,BR,Brazil,elite proxy,no,yes,1 minute ago,no
22,103.27.22.34,34220,PK,Pakistan,elite proxy,no,no,1 minute ago,no
23,1.20.102.102,38816,TH,Thailand,elite proxy,no,no,1 minute ago,no
24,200.70.22.74,8080,AR,Argentina,elite proxy,no,yes,1 minute ago,no
25,191.97.39.29,23500,AR,Argentina,elite proxy,no,no,1 minute ago,no
26,45.114.144.144,48642,IN,India,elite proxy,no,no,1 minute ago,no
27,103.226.142.90,41386,IN,India,elite proxy,no,no,1 minute ago,no
28,201.87.154.128,48694,BR,Brazil,elite proxy,no,yes,1 minute ago,no
29,45.71.115.1,53281,EC,Ecuador,elite proxy,no,no,1 minute ago,no
30,185.99.64.75,61503,CZ,Czech Republic,elite proxy,no,no,1 minute ago,no
31,136.228.128.6,30554,KH,Cambodia,elite proxy,no,no,1 minute ago,no
33,78.153.120.33,39193,HU,Hungary,elite proxy,no,yes,1 minute ago,no
34,182.23.54.146,48674,ID,Indonesia,elite proxy,no,no,1 minute ago,no
35,117.102.94.148,56491,ID,Indonesia,elite proxy,no,no,1 minute ago,no
36,102.164.202.80,34934,ZA,South Africa,elite proxy,no,yes,1 minute ago,no
37,177.37.240.52,8080,BR,Brazil,elite proxy,no,no,1 minute ago,no
38,185.136.102.135,8080,IR,Iran,elite proxy,no,no,1 minute ago,no
39,1.186.151.206,36253,IN,India,elite proxy,no,no,1 minute ago,no
40,187.188.182.107,43687,MX,Mexico,elite proxy,no,no,1 minute ago,no
41,187.73.68.14,53281,BR,Brazil,elite proxy,no,yes,1 minute ago,no
42,178.219.37.70,8080,RU,Russian Federation,elite proxy,no,no,1 minute ago,no
44,41.216.230.148,53024,MW,Malawi,elite proxy,no,no,1 minute ago,no
45,182.53.197.21,54751,TH,Thailand,elite proxy,no,no,1 minute ago,no
46,41.217.217.60,36120,MW,Malawi,elite proxy,no,yes,1 minute ago,no
47,125.27.251.124,45861,TH,Thailand,elite proxy,no,yes,1 minute ago,no
48,90.154.223.204,8080,BG,Bulgaria,elite proxy,no,yes,1 minute ago,no
49,188.170.52.188,58928,RU,Russian Federation,elite proxy,no,yes,1 minute ago,no
50,45.231.212.56,32876,BR,Brazil,elite proxy,no,yes,1 minute ago,no
51,186.211.106.227,34334,BR,Brazil,elite proxy,no,yes,1 minute ago,no
52,200.105.215.18,33630,BO,Bolivia,elite proxy,no,yes,1 minute ago,no
54,190.167.215.170,52479,DO,Dominican Republic,elite proxy,no,yes,1 minute ago,no
55,178.62.246.180,3128,NL,Netherlands,elite proxy,no,yes,1 minute ago,no
56,194.213.43.166,32422,CZ,Czech Republic,elite proxy,no,yes,1 minute ago,no
57,14.162.145.116,45714,VN,Vietnam,elite proxy,no,yes,1 minute ago,no
58,186.219.214.30,40456,BR,Brazil,elite proxy,no,yes,1 minute ago,no
60,181.189.221.245,42407,AR,Argentina,elite proxy,no,yes,1 minute ago,no
61,177.154.224.206,44488,BR,Brazil,elite proxy,no,yes,1 minute ago,no
62,118.173.232.5,34413,TH,Thailand,elite proxy,no,yes,1 minute ago,no
64,155.93.240.101,8080,ZA,South Africa,elite proxy,no,yes,1 minute ago,no
66,181.129.140.226,36733,CO,Colombia,elite proxy,no,yes,1 minute ago,no
67,77.48.22.59,37136,CZ,Czech Republic,elite proxy,no,yes,1 minute ago,no
69,180.180.175.70,59692,TH,Thailand,elite proxy,no,yes,1 minute ago,no
70,118.69.140.108,53281,VN,Vietnam,elite proxy,no,yes,1 minute ago,no
71,188.133.165.206,56145,RU,Russian Federation,elite proxy,no,yes,1 minute ago,no
72,94.228.85.166,38510,SK,Slovakia,elite proxy,no,yes,1 minute ago,no
74,62.118.131.240,3128,RU,Russian Federation,elite proxy,no,yes,1 minute ago,no
75,77.46.138.241,30762,RS,Serbia,elite proxy,no,yes,1 minute ago,no
76,180.246.205.208,30961,ID,Indonesia,elite proxy,no,yes,1 minute ago,no
77,194.67.92.81,3128,RU,Russian Federation,elite proxy,no,yes,1 minute ago,no
78,186.249.68.49,43228,BR,Brazil,elite proxy,no,yes,1 minute ago,no
79,87.247.3.234,49890,KZ,Kazakhstan,elite proxy,no,yes,1 minute ago,no
80,36.37.113.4,36485,ID,Indonesia,elite proxy,no,yes,1 minute ago,no
81,182.16.162.89,32247,ID,Indonesia,elite proxy,no,yes,1 minute ago,no
85,175.100.72.95,58133,KH,Cambodia,elite proxy,no,yes,1 minute ago,no
87,103.15.140.141,44759,BD,Bangladesh,elite proxy,no,yes,1 minute ago,no
88,154.119.79.254,53281,ZA,South Africa,elite proxy,no,yes,1 minute ago,no
89,115.127.114.76,32343,BD,Bangladesh,elite proxy,no,yes,1 minute ago,no
91,41.217.219.53,31398,MW,Malawi,elite proxy,no,yes,1 minute ago,no
92,159.8.114.34,8123,FR,France,elite proxy,no,no,1 minute ago,no
93,165.22.98.224,44344,SG,Singapore,elite proxy,no,yes,1 minute ago,no
94,165.22.98.206,44344,SG,Singapore,elite proxy,no,yes,1 minute ago,no
95,77.94.123.91,37765,RU,Russian Federation,elite proxy,no,no,1 minute ago,no
96,104.248.158.243,44344,SG,Singapore,elite proxy,no,yes,1 minute ago,no
97,190.152.71.230,54354,EC,Ecuador,elite proxy,no,no,1 minute ago,no
98,68.183.230.22,44344,SG,Singapore,elite proxy,no,yes,1 minute ago,no
100,181.143.10.130,36535,CO,Colombia,elite proxy,no,no,1 minute ago,no
101,176.119.134.151,23500,ES,Spain,elite proxy,no,yes,1 minute ago,no
119,43.248.24.158,51166,ID,Indonesia,elite proxy,no,no,10 minutes ago,no
120,102.176.160.75,59796,GN,Guinea,elite proxy,no,no,10 minutes ago,no
121,36.89.181.155,60165,ID,Indonesia,elite proxy,no,no,10 minutes ago,no
122,1.20.97.173,46790,TH,Thailand,elite proxy,no,no,10 minutes ago,no
124,27.116.51.186,6666,IN,India,elite proxy,no,no,11 minutes ago,no
125,190.6.200.158,38256,HN,Honduras,elite proxy,no,no,11 minutes ago,no
126,159.192.97.181,23500,TH,Thailand,elite proxy,no,yes,11 minutes ago,no
127,201.132.92.130,52800,MX,Mexico,elite proxy,no,no,11 minutes ago,no
128,134.249.165.49,53281,UA,Ukraine,elite proxy,no,yes,11 minutes ago,no
129,117.102.73.44,8182,ID,Indonesia,elite proxy,no,no,11 minutes ago,no
130,77.46.138.1,30762,RS,Serbia,elite proxy,no,no,11 minutes ago,no
131,95.84.168.158,41928,RU,Russian Federation,elite proxy,no,no,11 minutes ago,no
132,212.142.116.146,38523,LV,Latvia,elite proxy,no,no,11 minutes ago,no
133,81.163.57.147,41258,RU,Russian Federation,elite proxy,no,no,11 minutes ago,no
134,178.62.254.190,3128,NL,Netherlands,elite proxy,no,no,11 minutes ago,no
135,190.61.55.243,999,CO,Colombia,elite proxy,no,yes,11 minutes ago,no
